Cs,MA,FA,Bandgap
1.0,0.0,0.0,1.7253459119496855
0.03,0.0,0.97,1.553
0.05,0.0,0.95,1.5541935483870968
0.07,0.0,0.93,1.5366666666666668
0.15,0.0,0.85,1.5411428571428571
0.17,0.0,0.83,1.54
0.1,0.0,0.9,1.512
0.25,0.0,0.75,1.5675000000000001
0.2,0.0,0.8,1.570714285714286
0.3,0.0,0.7,1.58
0.3,0.0,0.7,1.5119999999999998
0.5,0.0,0.5,1.6375
0.75,0.0,0.25,1.685
0.88,0.0,0.12,1.51
1.0,0.0,1.0,1.51
0.05,0.25,0.07,1.51
0.05,0.38,0.57,1.54
0.05,0.25,0.7,1.51
0.05,0.2,0.75,1.52
0.05,0.16,0.79,1.57
0.05,0.17,0.83,1.56
0.08,0.37,0.55,1.53
0.15,0.1,0.75,1.554
0.1,0.8,0.1,1.5
0.1,0.7,0.2,1.62
0.1,0.36,0.54,1.51
0.2,0.6,0.2,1.634
0.3,0.5,0.2,1.64
0.4,0.4,0.2,1.64
0.05,0.95,0.0,1.51
0.05,95.0,0.0,1.61
0.09,0.91,0.0,1.59
0.1,0.9,0.0,1.54
0.11,0.89,0.0,1.62
0.15,0.85,0.0,1.59
0.17,0.83,0.0,1.633
0.1,0.9,0.0,1.6055000000000001
0.2,0.8,0.0,1.57
0.23,0.77,0.0,1.644
0.2,0.8,0.0,1.62
0.3,0.7,0.0,1.58
0.34,0.66,0.0,1.652
0.4,0.6,0.0,1.62
0.6,0.4,0.0,1.68
0.8,0.2,0.0,1.72
0.0,0.0,0.33,1.56
0.0,0.0,1.0,1.5063356890459365
0.0,0.974,0.026,1.516
0.0,0.98,0.02,1.51
0.0,0.95,0.05,1.5025
0.0,0.875,0.125,1.55
0.0,0.85,0.15,1.5366666666666664
0.0,0.83,0.17,1.588
0.0,0.9,0.1,1.553
0.0,0.75,0.25,1.54
0.0,0.8,0.2,1.5562500000000001
0.0,0.7,0.3,1.5832075471698115
0.0,0.52,0.48,1.62
0.0,0.6,0.4,1.5435714285714286
0.0,0.5,0.5,1.5757058823529413
0.0,0.35,0.65,1.52
0.0,0.34,0.66,1.5453333333333334
0.0,0.33,0.67,1.528
0.0,0.4,0.6,1.5402857142857143
0.0,0.25,0.75,1.53
0.0,0.3,0.7,1.581769230769231
0.0,0.17,0.83,1.5350000000000001
0.0,0.15,0.85,1.549090909090909
0.0,0.13,0.87,1.5
0.0,0.12,0.88,1.53
0.0,0.2,0.8,1.4116666666666668
0.0,0.08,0.92,1.55
0.0,0.025,0.975,1.48
0.0,0.1,0.9,1.5322222222222222
0.0,1.0,1.0,1.5405714285714287
0.0,0.98,0.0,1.59
0.0,1.0,0.0,1.5940467899056532
